date,1. open,2. high,3. low,4. close,5. volume
2024-09-24 13:31:00,570.7972,570.81,570.585,570.71,19836.0
2024-09-24 13:30:00,570.61,570.78,570.61,570.78,15693.0
2024-09-24 13:29:00,570.605,570.76,570.55,570.61,30209.0
2024-09-24 13:28:00,570.71,570.71,570.59,570.61,23885.0
2024-09-24 13:27:00,570.76,570.81,570.69,570.7389,18703.0
2024-09-24 13:26:00,570.7645,570.79,570.705,570.75,19215.0
2024-09-24 13:25:00,570.69,570.8279,570.68,570.7486,16726.0
2024-09-24 13:24:00,570.72,570.815,570.675,570.675,11387.0
2024-09-24 13:23:00,570.8,570.8,570.65,570.72,20855.0
2024-09-24 13:22:00,570.87,570.88,570.7701,570.81,17320.0
2024-09-24 13:21:00,570.88,570.8862,570.78,570.88,12992.0
2024-09-24 13:20:00,570.95,570.95,570.82,570.8701,30273.0
2024-09-24 13:19:00,570.88,570.9699,570.86,570.95,34972.0
2024-09-24 13:18:00,570.97,570.97,570.85,570.88,48730.0
2024-09-24 13:17:00,570.92,570.98,570.905,570.95,20386.0
2024-09-24 13:16:00,570.96,570.98,570.84,570.939,31901.0
2024-09-24 13:15:00,570.89,570.97,570.86,570.95,24985.0
2024-09-24 13:14:00,570.7407,570.94,570.7407,570.8957,28963.0
2024-09-24 13:13:00,570.81,570.83,570.72,570.739,14940.0
